title,developers,publishers,release_date,platforms,genres,score,reviewed_by
Aragami 2 ,LinceWorks,LinceWorks,2021-09-17,"Xbox Series X|S,  Xbox One,  PlayStation 4,  PlayStation 5,  PC",Action,5,Kyle Campbell
I Am Fish ,Bossa Studios,Curve Digital,2021-09-16,"PC,  Xbox One,  Xbox Series X|S","Action,  Puzzle",7,Travis Northup
Lost in Random ,Zoink!,Electronic Arts,2021-09-10,"Xbox Series X|S,  PlayStation 5,  PC,  Nintendo Switch,  Xbox One,  PlayStation 4","Action,  Adventure",8,Gabriel Moss
NBA 2K22 ,Visual Concepts,2K Games,2021-09-10,"Xbox Series X|S,  PlayStation 5","Sports,  Basketball",7,Ricky Frech
TOEM ,Something We Made,Something We Made,,"PC,  Nintendo Switch",,8,Rebekah Valentine
Deathloop ,Arkane Studios,Bethesda  Softworks,2021-09-14,"PC,  PlayStation 5",Action,10,Matt Purslow
Tales of Arise ,Bandai Namco Studios,Bandai Namco Games,2021-09-10,"Xbox Series X|S,  PlayStation 5,  PC,  PlayStation 4,  Xbox One",RPG,9,Terence Wiggins
Pandemic: Hot Zone Europe Board Game ,Z-Man Games,Z-Man Games,2021-08-26,Tabletop,Board,8,Matthew Adler
Big Rumble Boxing: Creed Champions ,Survios,Survios,2021-09-03,"Nintendo Switch,  PlayStation 4,  Xbox One,  PC",Boxing,4,Luke Reilly
Clid The Snail ,Weird Beluga Studio,Koch Media,2021-08-31,"PlayStation 5,  PlayStation 4,  PC",Shooter,5,Jarrett Green
Life is Strange: True Colors ,Deck Nine Games,Square Enix,2021-09-10,"PC,  PlayStation 4,  PlayStation 5,  Xbox One,  Xbox Series X|S,  Stadia,  Nintendo Switch",Adventure,9,Taylor Lyles
The Artful Escape ,Beethoven & Dinosaur,Annapurna Interactive,2021-09-09,"PC,  Xbox Series X|S,  Xbox One,  iPhone","Adventure,  Platformer",8,Tristan Ogilvie
WarioWare: Get It Together! ,"Intelligent Systems,  Nintendo Entertainment Planning & Development",Nintendo,2021-09-10,Nintendo Switch,Party,7,Tom Marks
