title,developers,publishers,release_date,platforms,genres,score,reviewed_by
Cyanide & Happiness - Freakpocalypse ,Explosm Entertainment,Serenity Forge,2021-03-11,"Nintendo Switch,  PC","Adventure,  Episodic",5,Tristan Ogilvie
Monster Energy Supercross – The Official Videogame 4 ,Milestone,Milestone,2021-03-11,"PlayStation 4,  Xbox One,  Stadia,  Xbox Series X|S,  PlayStation 5,  PC",Racing,6,Luke Reilly
Stronghold Warlords ,FireFly Studios,FireFly Studios,2021-03-09,PC,Strategy,7,Leana Hafer
Monster Jam Steel Titans 2 ,Rainbow Studios,THQ Nordic,2021-03-02,"Stadia,  Nintendo Switch,  PC,  Xbox One,  PlayStation 4",Racing,5,Luke Reilly
The Climb 2 ,Crytek Studios,Crytek Studios,2021-03-04,"Oculus Quest,  PC","Sports,  Simulation,  VR",7,Gabriel Moss
Breathedge ,RedRuins Softworks,HypeTrain,2021-02-25,"PC,  Xbox One,  PlayStation 4,  Nintendo Switch","Sci-Fi,  Adventure",5,Jonathan Bolding
Maquette ,Graceful Decay,Annapurna Interactive,2021-03-02,"PlayStation 5,  PlayStation 4,  PC",Puzzle,7,Tom Marks
Bravely Default 2 ,ClayTechWorks,Square Enix,2021-02-26,"Nintendo Switch,  PC",RPG,8,Seth Macy
Curse of the Dead Gods ,Passtech Games,Focus Home Interactive,2020-03-03,"PC,  Nintendo Switch,  Xbox One,  PlayStation 4","Action,  RPG,  Roguelike / Rogue-Lite",9,Mitchell Saltzman
Ghosts 'n Goblins Resurrection ,Capcom,Capcom,2021-02-25,"Nintendo Switch,  PC,  Xbox One,  PlayStation 4","Action,  Platformer",8,Tristan Ogilvie
Valheim Early Access , Iron Gate AB,,,PC,"Action,  Adventure",9,Leana Hafer
Ys IX: Monstrum Nox ,Nihon Falcom Corp,NIS,2021-02-02,"PlayStation 4,  Nintendo Switch,  Stadia,  PC","Action,  RPG",8,Nadia Oxford
Super Mario 3D World + Bowser's Fury ,"Nintendo,  Nintendo EAD Tokyo Software Development Department,  1-Up Studio",Nintendo,2021-02-12,Nintendo Switch,Platformer,7,Cam Shea
Persona 5 Strikers ,"Omega Force,  P-Studio",Atlus,2021-02-23,"PC,  PlayStation 4,  Nintendo Switch",Action,8,Tom Marks
Little Nightmares 2 ,Tarsier Studios,Bandai Namco Games,2021-02-11,"PC,  Nintendo Switch,  Stadia,  Xbox One,  PlayStation 4,  PlayStation 5,  Xbox Series X|S",Adventure,7,Tristan Ogilvie
iPhone 12 Pro Max ,,Apple,2020-11-13,iPhone,Hardware,7,Mark Knapp
Destruction AllStars ,"XDev Studios Europe,  Lucid Games",Sony Interactive Entertainment,2021-02-02,PlayStation 5,"Action,  Racing",6,Simon Cardy
Werewolf: The Apocalypse - Earthblood ,Cyanide,Nacon,2021-02-04,"Xbox Series X|S,  PlayStation 5,  Xbox One,  PlayStation 4,  PC","Action,  Adventure",4,Leana Hafer
Blue Fire ,Robi Studios,Graffiti Games,2021-02-04,"Nintendo Switch,  PC,  Stadia,  PlayStation 4","Action,  Adventure,  Platformer",8,Brendan Graeber
The Last Campfire ,Hello Games,Hello Games,2020-08-28,"iPhone,  PlayStation 4,  Xbox One,  PC,  Nintendo Switch",Adventure,9,Simon Cardy
Olija ,Skeleton Crew Studio,Skeleton Crew Studio,2021-01-28,"Xbox One,  PlayStation 4,  Nintendo Switch,  PC,  Luna","Action,  Adventure,  Platformer",7,Mitchell Saltzman
The Medium ,Bloober Team,Bloober Team,2021-01-28,"Xbox Series X|S,  PC,  PlayStation 5","Adventure,  Horror",8,Tristan Ogilvie
Skul: The Hero Slayer ,SouthPaw Games,NeoWiz ,2021-01-21,"PC,  Nintendo Switch","Action,  Platformer,  Roguelike / Rogue-Lite",8,Travis Northup
Cyber Shadow ,Mechanical Head Games,Yacht Club Games,2021-01-26,"Nintendo Switch,  Xbox One,  Macintosh,  PC,  PlayStation 4",Action,8,Mitchell Saltzman
Nuts ,,Noodlecake Studios,2021-01-22,"iPhone,  PC,  Nintendo Switch","Adventure,  Simulation",7,Simon Cardy
Everspace 2 Early Access ,RockFish Games,RockFish Games,,"PlayStation 4,  PC,  Xbox One","Action,  Shooter,  Flight",7,Dan Stapleton
Hitman 3 ,Io Interactive,Io Interactive,2021-01-20,"Xbox Series X|S,  PC,  Xbox One,  PlayStation 5,  PlayStation 4,  Stadia,  Nintendo Switch",Action,9,Luke Reilly
Factorio ,Wube Software,Wube Software,2020-08-14,PC,Strategy,8,Leana Hafer
AtGames Legends Ultimate ,,AtGames Digital Media,2019-07-31,Arcade,"Compilation,  Hardware",8,Seth Macy
Among Us ,Innersloth,Innersloth,2018-06-15,"Android,  iPhone,  PC,  Nintendo Switch,  PlayStation 5,  Xbox Series X|S,  Xbox One,  PlayStation 4","Action,  Puzzle,  Saboteur",9,Leana Hafer
Monster Train ,Shiny Shoe,Good Shepherd Entertainment,2020-05-21,"PC,  Xbox One,  Nintendo Switch","RPG,  Card,  Battle",9,Dan Stapleton
Cyberpunk 2077 for Xbox One and PlayStation 4 ,CD Projekt Red,"Warner Bros.  Interactive, CD Projekt",2020-12-10,"Stadia,  PlayStation 4,  Xbox One,  PC,  Xbox Series X|S,  PlayStation 5",RPG,4,Destin Legarie
Gears 5: Hivebusters DLC ,The Coalition,Microsoft Game Studios,2020-12-15,"Xbox Series X|S,  Xbox One,  PC","Shooter,  DLC / Expansion",8,Brian Barnett
Medal of Honor: Above and Beyond ,Respawn Entertainment,Oculus Studios,2020-12-10,PC,"Shooter,  VR",6,Gabriel Moss
World of Warcraft: Shadowlands ,Blizzard Entertainment,"Vivendi Games, Blizzard Entertainment",2004-11-22,"Macintosh,  PC","RPG,  MMO",8,Leana Hafer
FIFA 21 ,EA Canada,Electronic Arts,2020-12-04,"Xbox Series X|S,  PlayStation 5","Sports,  Soccer",7,Simon Cardy
Call of the Sea ,Out of the Blue,Raw Fury Games,2020-12-08,"Xbox One,  Xbox Series X|S,  PC,  Luna,  PlayStation 5,  PlayStation 4","Adventure,  Puzzle",9,Simon Cardy
Cyberpunk 2077 PC ,CD Projekt Red,"Warner Bros.  Interactive, CD Projekt",2020-12-10,"Stadia,  PlayStation 4,  Xbox One,  PC,  Xbox Series X|S,  PlayStation 5",RPG,9,Tom Marks
Haven ,The Game Bakers,The Game Bakers,2020-12-03,"PlayStation 5,  PC,  Xbox One,  Xbox Series X|S,  Nintendo Switch,  PlayStation 4",RPG,8,Kyle Campbell
Empire of Sin ,Romero Games,Paradox  Interactive,2020-12-01,"Xbox One,  PlayStation 4,  PC,  Nintendo Switch","RPG,  Strategy",4,Jonathan Bolding
Twin Mirror ,DONTNOD Entertainment,Bandai Namco Games,2020-12-01,"PlayStation 4,  PC,  Xbox One",Adventure,5,Tristan Ogilvie
Immortals Fenyx Rising ,Ubisoft Quebec City,Ubisoft,2020-12-03,"Xbox Series X|S,  PlayStation 5,  Nintendo Switch,  Stadia,  PC,  Xbox One,  PlayStation 4",Action,7,Cam Shea
Destiny 2: Beyond Light ,Bungie Software,Bungie Software,2020-11-10,"Xbox One,  PC,  PlayStation 4,  Xbox Series X|S,  Stadia,  PlayStation 5","RPG,  Shooter,  DLC / Expansion",7,Travis Northup
Sackboy: A Big Adventure ,Sumo Digital,Sony Interactive Entertainment,2020-11-12,"PlayStation 4,  PlayStation 5",Adventure,8,Tom Marks
Dirt 5 ,Codemasters,Codemasters,2020-11-06,"Xbox One,  PlayStation 4,  PC,  Xbox Series X|S,  PlayStation 5,  Stadia,  Luna",Racing,8,Luke Reilly
Fuser ,Harmonix,NCSoft,2020-11-10,"Nintendo Switch,  Xbox One,  PlayStation 4,  PC",Music,7,Jarrett Green
Hyrule Warriors: Age of Calamity ,Koei Tecmo,Nintendo,2020-11-20,Nintendo Switch,Action,9,Cam Shea
AMD Radeon RX 6800 ,,AMD,,PC,"Hardware,  Graphics Card (GPU)",7,Chris Coke
AMD Radeon RX 6800 XT ,,AMD,,PC,"Hardware,  Graphics Card (GPU)",8,Chris Coke
Kingdom Hearts: Melody of Memory ,,Square Enix,2020-11-13,"Nintendo Switch,  Xbox One,  PlayStation 4,  PC","Action,  Music",7,Gabriel Moss
Call of Duty: Black Ops Cold War Zombies ,"Raven Software,  Treyarch",Activision,2020-11-13,"Xbox Series X|S,  Xbox One,  PlayStation 5,  PlayStation 4,  PC",Shooter,7,David Jagneaux
Call of Duty: Black Ops Cold War Multiplayer ,"Raven Software,  Treyarch",Activision,2020-11-13,"Xbox Series X|S,  Xbox One,  PlayStation 5,  PlayStation 4,  PC",Shooter,6,Simon Cardy
NBA 2K21 for Xbox Series X and PlayStation 5 ,"Visual Concepts,  2K Sports",2K Games,2020-11-10,"Xbox Series X|S,  PlayStation 5","Sports,  Basketball",7,Ben Vollmer
Demon's Souls ,"SIE Japan Studio,  Bluepoint Games",Sony Interactive Entertainment,2020-11-12,PlayStation 5,"Action,  RPG",9,Mitchell Saltzman
Marvel's Spider-Man Remastered ,Insomniac Games,Sony Computer Entertainment,2020-11-12,"PlayStation 5,  PlayStation 4","Superhero,  Action,  Remastered",9,Jonathon Dornbush
Godfall ,Counterplay Games,Gearbox Software,2020-11-12,"PlayStation 5,  PC,  PlayStation 4","RPG,  Shooter",6,Tom Marks
Game & Watch: Super Mario Bros. ,Nintendo,Nintendo,2020-11-13,LCD games,"Platformer,  Productivity",9,Seth G. Macy
Call of Duty: Black Ops Cold War – Campaign ,"Raven Software,  Treyarch",Activision,2020-11-13,"Xbox Series X|S,  Xbox One,  PlayStation 5,  PlayStation 4,  PC",Shooter,7,Ryan McCaffrey
iPhone 12 ,,Apple,2020-10-23,iPhone,Hardware,7,Mark Knapp
The Pathless ,Giant Squid,Annapurna Interactive,2020-11-12,"PlayStation 5,  iPhone,  PlayStation 4,  PC",Adventure,8,Jonathon Dornbush
iPhone 12 Pro ,,Apple,2020-10-23,iPhone,Hardware,8,Kevin Lee
Monster Truck Championship ,Teyon,Nacon,2020-10-15,"PC,  Xbox One,  Nintendo Switch,  PlayStation 4",Racing,7,Luke Reilly
Bugsnax ,"Young Horses,  Inc.","Young Horses, Inc.",2020-11-12,"PC,  PlayStation 4,  PlayStation 5","Adventure,  RPG,  Simulation,  First-Person",8,Simon Cardy
Assassin's Creed Valhalla ,Ubisoft Montreal,Ubisoft,2020-11-10,"Xbox Series X|S,  Xbox One,  Stadia,  PC,  PlayStation 4,  PlayStation 5","Action,  Adventure",8,Brandin Tyrrel
